network,autonomous_system_number,autonomous_system_organization
103.172.141.0/24,16509,amazon-02
103.168.209.0/24,16509,amazon-02
103.168.156.0/23,16509,amazon-02
103.167.153.0/24,16509,amazon-02
103.166.180.0/24,16509,amazon-02
103.165.160.0/24,16509,amazon-02
103.196.32.0/24,16509,amazon-02
103.80.6.0/24,16509,amazon-02
104.249.162.0/24,16509,amazon-02
104.255.56.0/22,16509,amazon-02
108.159.64.0/19,16509,amazon-02
108.159.0.0/18,16509,amazon-02
108.158.224.0/19,16509,amazon-02
108.158.208.0/20,16509,amazon-02
108.158.204.0/22,16509,amazon-02
108.158.172.0/23,16509,amazon-02
108.158.168.0/22,16509,amazon-02
108.159.96.0/23,16509,amazon-02
108.158.160.0/21,16509,amazon-02
108.158.112.0/20,16509,amazon-02
108.158.104.0/21,16509,amazon-02
108.158.100.0/22,16509,amazon-02
108.158.99.0/24,16509,amazon-02
108.158.68.0/24,16509,amazon-02
108.158.64.0/22,16509,amazon-02
108.158.0.0/18,16509,amazon-02
108.158.128.0/19,16509,amazon-02
108.159.128.0/21,16509,amazon-02
108.159.136.0/22,16509,amazon-02
108.159.141.0/24,16509,amazon-02
108.159.224.0/21,16509,amazon-02
108.159.216.0/21,16509,amazon-02
108.159.214.0/23,16509,amazon-02
108.159.213.0/24,16509,amazon-02
108.159.210.0/24,16509,amazon-02
108.159.208.0/23,16509,amazon-02
108.159.192.0/20,16509,amazon-02
108.159.184.0/21,16509,amazon-02
108.159.180.0/22,16509,amazon-02
108.159.179.0/24,16509,amazon-02
108.159.160.0/20,16509,amazon-02
108.159.156.0/23,16509,amazon-02
108.159.155.0/24,16509,amazon-02
108.159.152.0/23,16509,amazon-02
108.159.148.0/23,16509,amazon-02
108.159.144.0/22,16509,amazon-02
108.159.142.0/24,16509,amazon-02
108.157.224.0/19,16509,amazon-02
104.253.192.0/23,16509,amazon-02
108.157.208.0/20,16509,amazon-02
108.157.205.0/24,16509,amazon-02
108.139.207.0/24,16509,amazon-02
108.139.176.0/20,16509,amazon-02
108.139.168.0/21,16509,amazon-02
108.139.164.0/22,16509,amazon-02
108.139.162.0/23,16509,amazon-02
108.139.146.0/24,16509,amazon-02
108.139.144.0/23,16509,amazon-02
108.139.208.0/20,16509,amazon-02
108.139.128.0/20,16509,amazon-02
108.138.0.0/16,16509,amazon-02
108.136.0.0/15,16509,amazon-02
108.128.0.0/13,16509,amazon-02
107.162.252.0/24,16509,amazon-02
107.151.232.0/23,16509,amazon-02
107.151.224.0/21,16509,amazon-02
104.255.60.0/24,16509,amazon-02
108.139.0.0/17,16509,amazon-02
108.139.224.0/19,16509,amazon-02
108.156.0.0/16,16509,amazon-02
108.157.0.0/20,16509,amazon-02
108.157.188.0/23,16509,amazon-02
108.157.184.0/22,16509,amazon-02
108.157.176.0/21,16509,amazon-02
108.157.160.0/20,16509,amazon-02
108.157.144.0/20,16509,amazon-02
108.157.136.0/21,16509,amazon-02
108.157.132.0/22,16509,amazon-02
108.157.130.0/23,16509,amazon-02
108.157.114.0/24,16509,amazon-02
108.157.112.0/23,16509,amazon-02
108.157.96.0/20,16509,amazon-02
108.157.64.0/19,16509,amazon-02
108.157.32.0/19,16509,amazon-02
108.157.31.0/24,16509,amazon-02
108.157.28.0/23,16509,amazon-02
108.157.24.0/22,16509,amazon-02
108.157.16.0/21,16509,amazon-02
108.157.206.0/23,16509,amazon-02
103.78.50.0/24,16509,amazon-02
103.73.186.0/23,16509,amazon-02
103.70.51.0/24,16509,amazon-02
99.77.0.0/18,16509,amazon-02
98.159.40.0/23,16509,amazon-02
98.142.155.0/24,16509,amazon-02
98.130.0.0/16,16509,amazon-02
98.97.254.0/23,16509,amazon-02
98.97.253.0/24,16509,amazon-02
98.97.248.0/22,16509,amazon-02
99.77.130.0/23,16509,amazon-02
96.9.221.0/24,16509,amazon-02
96.0.128.0/19,16509,amazon-02
96.0.112.0/20,16509,amazon-02
96.0.110.0/23,16509,amazon-02
96.0.108.0/24,16509,amazon-02
96.0.104.0/22,16509,amazon-02
96.0.96.0/21,16509,amazon-02
96.0.64.0/19,16509,amazon-02
96.0.160.0/20,16509,amazon-02
99.77.132.0/22,16509,amazon-02
99.77.136.0/21,16509,amazon-02
99.77.144.0/23,16509,amazon-02
99.78.160.0/21,16509,amazon-02
99.78.128.0/19,16509,amazon-02
99.77.252.0/23,16509,amazon-02
99.77.248.0/22,16509,amazon-02
99.77.244.0/22,16509,amazon-02
99.77.242.0/24,16509,amazon-02
99.77.240.0/24,16509,amazon-02
99.77.238.0/23,16509,amazon-02
99.77.232.0/22,16509,amazon-02
99.77.190.0/24,16509,amazon-02
99.77.188.0/23,16509,amazon-02
99.77.186.0/24,16509,amazon-02
99.77.160.0/22,16509,amazon-02
99.77.152.0/21,16509,amazon-02
99.77.150.0/24,16509,amazon-02
99.77.148.0/23,16509,amazon-02
99.77.147.0/24,16509,amazon-02
96.0.0.0/18,16509,amazon-02
99.78.168.0/22,16509,amazon-02
95.130.184.0/23,16509,amazon-02
94.142.252.0/24,16509,amazon-02
91.227.193.0/24,16509,amazon-02
91.227.75.0/24,16509,amazon-02
91.223.161.0/24,16509,amazon-02
91.220.25.0/24,16509,amazon-02
91.218.37.0/24,16509,amazon-02
91.213.146.0/24,16509,amazon-02
91.213.126.0/24,16509,amazon-02
91.227.208.0/24,16509,amazon-02
91.213.115.0/24,16509,amazon-02
91.208.21.0/24,16509,amazon-02
91.207.12.0/23,16509,amazon-02
91.202.211.0/24,16509,amazon-02
91.200.50.0/24,16509,amazon-02
91.198.117.0/24,16509,amazon-02
91.198.107.0/24,16509,amazon-02
91.194.104.0/24,16509,amazon-02
