network,autonomous_system_number,autonomous_system_organization
199.65.30.0/23,8075,microsoft-corp-msn-as-block
199.65.40.0/24,8075,microsoft-corp-msn-as-block
199.65.243.0/24,8075,microsoft-corp-msn-as-block
199.65.247.0/24,8075,microsoft-corp-msn-as-block
199.65.251.0/24,8075,microsoft-corp-msn-as-block
199.103.90.0/23,8075,microsoft-corp-msn-as-block
199.103.122.0/24,8075,microsoft-corp-msn-as-block
199.189.36.0/23,8075,microsoft-corp-msn-as-block
199.189.38.0/24,8075,microsoft-corp-msn-as-block
199.233.162.0/24,8075,microsoft-corp-msn-as-block
199.242.32.0/20,8075,microsoft-corp-msn-as-block
199.242.48.0/21,8075,microsoft-corp-msn-as-block
199.255.253.0/24,8075,microsoft-corp-msn-as-block
202.12.70.0/24,8075,microsoft-corp-msn-as-block
202.22.173.0/24,8075,microsoft-corp-msn-as-block
202.89.224.0/21,8075,microsoft-corp-msn-as-block
203.12.31.0/24,8075,microsoft-corp-msn-as-block
203.21.152.0/23,8075,microsoft-corp-msn-as-block
203.32.8.0/24,8075,microsoft-corp-msn-as-block
199.30.16.0/20,8075,microsoft-corp-msn-as-block
203.32.10.0/23,8075,microsoft-corp-msn-as-block
199.21.128.0/24,8075,microsoft-corp-msn-as-block
199.15.136.0/23,8070,microsoft-corp-msn-as-block
194.41.22.0/24,8075,microsoft-corp-msn-as-block
194.44.235.0/24,8075,microsoft-corp-msn-as-block
194.50.21.0/24,8075,microsoft-corp-msn-as-block
194.180.131.0/24,8075,microsoft-corp-msn-as-block
195.8.43.0/24,8075,microsoft-corp-msn-as-block
195.85.113.0/24,8075,microsoft-corp-msn-as-block
195.105.26.0/24,8075,microsoft-corp-msn-as-block
195.114.140.0/24,8075,microsoft-corp-msn-as-block
195.134.224.0/19,8070,microsoft-corp-msn-as-block
198.8.73.0/24,8075,microsoft-corp-msn-as-block
198.22.19.0/24,8075,microsoft-corp-msn-as-block
198.47.13.0/24,8075,microsoft-corp-msn-as-block
198.49.8.0/24,8075,microsoft-corp-msn-as-block
198.51.0.0/24,8075,microsoft-corp-msn-as-block
198.52.0.0/24,8075,microsoft-corp-msn-as-block
198.91.39.0/24,8075,microsoft-corp-msn-as-block
198.180.95.0/24,8075,microsoft-corp-msn-as-block
198.180.97.0/24,8075,microsoft-corp-msn-as-block
198.185.5.0/24,8075,microsoft-corp-msn-as-block
198.200.130.0/24,8075,microsoft-corp-msn-as-block
198.206.164.0/24,8075,microsoft-corp-msn-as-block
198.245.174.0/24,8075,microsoft-corp-msn-as-block
199.0.184.0/23,8075,microsoft-corp-msn-as-block
199.15.138.0/24,8070,microsoft-corp-msn-as-block
194.41.19.0/24,8075,microsoft-corp-msn-as-block
203.84.134.0/23,8075,microsoft-corp-msn-as-block
204.14.180.0/22,8075,microsoft-corp-msn-as-block
208.76.46.0/24,8075,microsoft-corp-msn-as-block
208.80.20.0/23,8075,microsoft-corp-msn-as-block
208.84.0.0/21,8075,microsoft-corp-msn-as-block
208.90.118.0/24,8075,microsoft-corp-msn-as-block
208.103.174.0/24,8075,microsoft-corp-msn-as-block
209.51.100.0/24,8075,microsoft-corp-msn-as-block
209.143.212.0/23,8075,microsoft-corp-msn-as-block
209.199.0.0/16,8075,microsoft-corp-msn-as-block
